SubNetwork,ManagedElement,NE_Name,ldn,moId,userLabel,masterOperatorId,cellLocalId,duMeMoId,plmnIdList,refNRPhysicalCellDU,ldn_SSB,pci,ssbFrequency,ldn_InterRatHoA1A2,moId_InterRatHoA1A2,rsrpThresholdA1,rsrpThresholdA2,hysteresisA1,hysteresisA2,ldn_NRBlindRd,moId_NRBlindRd,rsrpThreshold,hysteresis,ldn_lteHO,moId_lteHO,refMeasObjEUTRA,refLTEFreqCovHo,lteFreqCovHoPrio,lteFreqBlindRedPrio,measBandWidth,refEutranFreqRelation,rdFreqPriority,refEutranFreq,frequency,freqBand,moId_LTEFreqCovHo,eventId,rsrpThreshold_lteHO,b2Thrd1Rsrp,CoverMobilityMeasCfg
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-105.0,-110.0,0.0,0.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,10.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=8",8.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,MeasObjectConfig=1,MeasObjEUTRA=8","GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",248.0,248.0,50.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=8",248.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=8",939.0,8.0,1.0,B2,-108.0,-112.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-105.0,-110.0,0.0,0.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,10.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=1",1.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,MeasObjectConfig=1,MeasObjEUTRA=1","GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",255.0,255.0,100.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=1",228.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=1",1815.1,3.0,1.0,B2,-108.0,-112.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-105.0,-110.0,0.0,0.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,10.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=2",2.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,MeasObjectConfig=1,MeasObjEUTRA=2","GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",254.0,254.0,100.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=2",254.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=2",1815.2,3.0,1.0,B2,-108.0,-112.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-105.0,-110.0,0.0,0.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,10.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=3",3.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,MeasObjectConfig=1,MeasObjEUTRA=3","GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",253.0,253.0,100.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=3",227.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=3",2330.0,40.0,1.0,B2,-108.0,-112.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-105.0,-110.0,0.0,0.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,10.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=4",4.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,MeasObjectConfig=1,MeasObjEUTRA=4","GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",252.0,252.0,100.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=4",226.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=4",2349.8,40.0,1.0,B2,-108.0,-112.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-105.0,-110.0,0.0,0.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,10.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=5",5.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,MeasObjectConfig=1,MeasObjEUTRA=5","GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",250.0,250.0,100.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=5",224.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=5",2624.6,41.0,1.0,B2,-108.0,-112.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-105.0,-110.0,0.0,0.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,10.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=6",6.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,MeasObjectConfig=1,MeasObjEUTRA=6","GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",249.0,249.0,100.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=6",223.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=6",2645.0,41.0,1.0,B2,-108.0,-112.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-105.0,-110.0,0.0,0.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,10.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=7",7.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,MeasObjectConfig=1,MeasObjEUTRA=7","GNBCUCPFunction=460-00_10534306,NRCellCU=9,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",251.0,251.0,100.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=7",225.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=7",1895.0,39.0,1.0,B2,-108.0,-112.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=2",2,徐州-云龙-新工程兵700M-CRNR-Z5H-0702-新工程兵LY,46000-10534306-2,2,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=2","NRRadioInfrastructure=1,NRPhysicalCellDU=2,CellDefiningSSB=1",73,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-108.0,-112.0,3.0,3.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,3.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=8",8.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,MeasObjectConfig=1,MeasObjEUTRA=8","GNBCUCPFunction=460-00_10534306,NRCellCU=2,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",248.0,248.0,50.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,EutranFreqRelation=8",248.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=8",939.0,8.0,1.0,B1,-105.0,-113.0,default
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"GNBCUCPFunction=460-00_10534306,NRCellCU=2",2,徐州-云龙-新工程兵700M-CRNR-Z5H-0702-新工程兵LY,46000-10534306-2,2,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=2","NRRadioInfrastructure=1,NRPhysicalCellDU=2,CellDefiningSSB=1",73,763.25,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,InterRatHoA1A2=1",1,-108.0,-112.0,3.0,3.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,NRBlindRd=default",default,-117.0,3.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,CoverMobilityCtrl=default,CoverMobilityMeasCfg=default,CoverMobilityLTEFreqMeasCfg=7",7.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,MeasObjectConfig=1,MeasObjEUTRA=7","GNBCUCPFunction=460-00_10534306,NRCellCU=2,CoverMobilityCtrl=default,CoverMobilityRptCfg=1,LTEFreqCovHo=1",251.0,251.0,100.0,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,EutranFreqRelation=7",225.0,"GNBCUCPFunction=460-00_10534306,EutranFreq=7",1895.0,39.0,1.0,B1,-105.0,-113.0,default
