SubNetwork,ManagedElement,NE_Name,ldn,moId,userLabel,masterOperatorId,cellLocalId,duMeMoId,plmnIdList,refNRPhysicalCellDU,ldn_SSB,pci,ssbFrequency,qHyst,threshServingLowP,cellReselectionPriority,sNonIntraSearchSwitch,sNonIntraSearchP,cellReselectionSubPriority,ManagedElement_EUTRAReselection,moId_EUTRAReselection,refEutranFreqRelation,cellReselectionPriority_EUTRAReselection,qRxLevMin,threshXHigh,threshXLow,allowedMeasBandwidth,cellReselectionSubPriority_EUTRAReselection,refEutranFreq,frequency,freqBand
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,1,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=1",3,-62,6,8,mbw100,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=1",1815.1,3
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,2,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=2",3,-62,6,8,mbw100,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=2",1815.2,3
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,3,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=3",3,-62,6,8,mbw100,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=3",2330.0,40
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,4,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=4",3,-62,6,8,mbw100,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=4",2349.8,40
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,5,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=5",1,-62,6,8,mbw100,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=5",2624.6,41
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,6,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=6",1,-62,6,8,mbw100,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=6",2645.0,41
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,7,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=7",2,-62,6,8,mbw100,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=7",1895.0,39
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,8,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,EutranFreqRelation=8",1,-62,6,8,mbw50,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=8",939.0,8
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=2",2,徐州-云龙-新工程兵700M-CRNR-Z5H-0702-新工程兵LY,46000-10534306-2,2,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=2","NRRadioInfrastructure=1,NRPhysicalCellDU=2,CellDefiningSSB=1",73,763.25,4,6,4,enable,6.0,0.0,10534306,1,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,EutranFreqRelation=1",3,-62,6,8,mbw100,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=1",1815.1,3
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=2",2,徐州-云龙-新工程兵700M-CRNR-Z5H-0702-新工程兵LY,46000-10534306-2,2,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=2","NRRadioInfrastructure=1,NRPhysicalCellDU=2,CellDefiningSSB=1",73,763.25,4,6,4,enable,6.0,0.0,10534306,8,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,EutranFreqRelation=8",1,-62,6,8,mbw50,0,"GNBCUCPFunction=460-00_10534306,EutranFreq=8",939.0,8
