SubNetwork,ManagedElement,NE_Name,ldn,moId,userLabel,masterOperatorId,cellLocalId,duMeMoId,plmnIdList,refNRPhysicalCellDU,ldn_SSB,pci,ssbFrequency,qHyst,threshServingLowP,cellReselectionPriority,sNonIntraSearchSwitch,sNonIntraSearchP,cellReselectionSubPriority,ManagedElement_InterFReselection,refNRFreqRelation,qRxLevMin,threshXHighP,threshXLowP,cellReselectionPriority_InterFReselection,cellReselectionSubPriority_InterFReselection,refNRFreq,ssbFrequency_InterFReselection
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=9",9,徐州-云龙-新工程兵700M-CRNR-Z5H-0709-楚岳山庄LY,46000-10534306-9,9,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=9","NRRadioInfrastructure=1,NRPhysicalCellDU=9,CellDefiningSSB=1",128,763.25,4,4,4,enable,4.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=9,NRFreqRelation=1",-60,10,8,5,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=1",2524.95
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=2",2,徐州-云龙-新工程兵700M-CRNR-Z5H-0702-新工程兵LY,46000-10534306-2,2,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=2","NRRadioInfrastructure=1,NRPhysicalCellDU=2,CellDefiningSSB=1",73,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,NRFreqRelation=4",-60,11,10,5,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=4",2584.95
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=2",2,徐州-云龙-新工程兵700M-CRNR-Z5H-0702-新工程兵LY,46000-10534306-2,2,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=2","NRRadioInfrastructure=1,NRPhysicalCellDU=2,CellDefiningSSB=1",73,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,NRFreqRelation=3",-60,11,10,6,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=3",4827.36
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=2",2,徐州-云龙-新工程兵700M-CRNR-Z5H-0702-新工程兵LY,46000-10534306-2,2,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=2","NRRadioInfrastructure=1,NRPhysicalCellDU=2,CellDefiningSSB=1",73,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,NRFreqRelation=5",-60,11,10,6,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=5",4919.52
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=2",2,徐州-云龙-新工程兵700M-CRNR-Z5H-0702-新工程兵LY,46000-10534306-2,2,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=2","NRRadioInfrastructure=1,NRPhysicalCellDU=2,CellDefiningSSB=1",73,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=2,NRFreqRelation=1",-60,11,6,5,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=1",2524.95
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=3",3,徐州-云龙-新工程兵700M-CRNR-Z5H-0703-新工程兵LY,46000-10534306-3,3,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=3","NRRadioInfrastructure=1,NRPhysicalCellDU=3,CellDefiningSSB=1",74,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=3,NRFreqRelation=4",-60,11,10,5,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=4",2584.95
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=3",3,徐州-云龙-新工程兵700M-CRNR-Z5H-0703-新工程兵LY,46000-10534306-3,3,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=3","NRRadioInfrastructure=1,NRPhysicalCellDU=3,CellDefiningSSB=1",74,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=3,NRFreqRelation=3",-60,11,10,6,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=3",4827.36
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=3",3,徐州-云龙-新工程兵700M-CRNR-Z5H-0703-新工程兵LY,46000-10534306-3,3,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=3","NRRadioInfrastructure=1,NRPhysicalCellDU=3,CellDefiningSSB=1",74,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=3,NRFreqRelation=5",-60,11,10,6,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=5",4919.52
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=3",3,徐州-云龙-新工程兵700M-CRNR-Z5H-0703-新工程兵LY,46000-10534306-3,3,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=3","NRRadioInfrastructure=1,NRPhysicalCellDU=3,CellDefiningSSB=1",74,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=3,NRFreqRelation=1",-60,11,6,5,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=1",2524.95
CMCC-XZ-07,10534306,徐州-云龙-新工程兵700M-CRNR-Z5H,"Ne=10534306,GNBCUCPFunction=460-00_10534306,NRCellCU=4",4,徐州-云龙-新工程兵700M-CRNR-Z5H-0704-上甸子村LY,46000-10534306-4,4,10534306,460-00,"NRRadioInfrastructure=1,NRPhysicalCellDU=4","NRRadioInfrastructure=1,NRPhysicalCellDU=4,CellDefiningSSB=1",198,763.25,4,6,4,enable,6.0,0.0,10534306,"GNBCUCPFunction=460-00_10534306,NRCellCU=4,NRFreqRelation=4",-60,11,10,5,0.0,"GNBCUCPFunction=460-00_10534306,NRFreq=4",2584.95
